//prenche os tiles para o mapa
Fill:0
//TileID,posX,posY
2,1,1
2,1,3
0,1,4
2,1,3
2,-1,-1
2,-2,-1
2,-3,-1
2,1,3
2,1,3
2,1,3
2,1,3
2,1,2
2,2,2
2,2,3
2,8,11
2,17,19
2,19,21
2,21,23
2,23,25
2,25,27
2,27,29
2,29,31
2,32,34
2,35,37
2,41,42
2,45,45
2,49,48
2,52,51
2,54,53
2,56,55
2,59,58
2,61,60
2,64,63
2,66,65
2,68,67
2,71,70
2,73,72
2,76,75
2,79,78
2,81,80
2,83,83
2,86,85
2,89,88
2,91,90
2,94,93
2,96,95
2,98,98
2,101,100
2,103,103
2,105,108
2,105,110
2,105,113
2,105,115
2,105,117
2,105,120
2,105,122
2,105,124
2,105,126
2,105,129
2,105,131
2,0,1
2,0,2
2,0,3
2,-1,3
2,-1,1
2,0,1
2,1,1
2,-1,2
2,0,0
